file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,46,css,5ec91e2e,ryan atienza,2026-04-11,21:04:05,-07:00,2026-04-11T21:04:05-07:00,0,0
style.css,47,css,5ec91e2e,ryan atienza,2026-04-11,21:04:05,-07:00,2026-04-11T21:04:05-07:00,0,0
style.css,48,css,5ec91e2e,ryan atienza,2026-04-11,21:04:05,-07:00,2026-04-11T21:04:05-07:00,0,13
style.css,49,css,5ec91e2e,ryan atienza,2026-04-11,21:04:05,-07:00,2026-04-11T21:04:05-07:00,1,25
style.css,50,css,5ec91e2e,ryan atienza,2026-04-11,21:04:05,-07:00,2026-04-11T21:04:05-07:00,1,37
style.css,51,css,40a4cf00,ryan atienza,2026-04-11,21:07:28,-07:00,2026-04-11T21:07:28-07:00,1,25
style.css,52,css,b00dbcb5,ryan atienza,2026-04-11,21:25:12,-07:00,2026-04-11T21:25:12-07:00,1,21
style.css,53,css,5ec91e2e,ryan atienza,2026-04-11,21:04:05,-07:00,2026-04-11T21:04:05-07:00,0,0
style.css,54,css,5ec91e2e,ryan atienza,2026-04-11,21:04:05,-07:00,2026-04-11T21:04:05-07:00,0,0
style.css,55,css,5ec91e2e,ryan atienza,2026-04-11,21:04:05,-07:00,2026-04-11T21:04:05-07:00,0,0
style.css,56,css,5ec91e2e,ryan atienza,2026-04-11,21:04:05,-07:00,2026-04-11T21:04:05-07:00,0,11
style.css,57,css,5ec91e2e,ryan atienza,2026-04-11,21:04:05,-07:00,2026-04-11T21:04:05-07:00,1,25
style.css,58,css,5ec91e2e,ryan atienza,2026-04-11,21:04:05,-07:00,2026-04-11T21:04:05-07:00,1,39
style.css,59,css,40a4cf00,ryan atienza,2026-04-11,21:07:28,-07:00,2026-04-11T21:07:28-07:00,1,25
style.css,60,css,5ec91e2e,ryan atienza,2026-04-11,21:04:05,-07:00,2026-04-11T21:04:05-07:00,1,20
style.css,61,css,89e9daf7,ryan atienza,2026-04-18,20:36:47,-07:00,2026-04-18T20:36:47-07:00,1,69
style.css,62,css,b00dbcb5,ryan atienza,2026-04-11,21:25:12,-07:00,2026-04-11T21:25:12-07:00,0,0
style.css,63,css,b00dbcb5,ryan atienza,2026-04-11,21:25:12,-07:00,2026-04-11T21:25:12-07:00,0,0
style.css,64,css,b00dbcb5,ryan atienza,2026-04-11,21:25:12,-07:00,2026-04-11T21:25:12-07:00,0,4
style.css,65,css,a6cfe71c,ryan atienza,2026-04-11,21:32:23,-07:00,2026-04-11T21:32:23-07:00,1,12
style.css,66,css,a6cfe71c,ryan atienza,2026-04-11,21:32:23,-07:00,2026-04-11T21:32:23-07:00,1,30
style.css,67,css,a6cfe71c,ryan atienza,2026-04-11,21:32:23,-07:00,2026-04-11T21:32:23-07:00,1,7
style.css,68,css,b00dbcb5,ryan atienza,2026-04-11,21:25:12,-07:00,2026-04-11T21:25:12-07:00,0,0
style.css,69,css,b00dbcb5,ryan atienza,2026-04-11,21:25:12,-07:00,2026-04-11T21:25:12-07:00,0,0
style.css,70,css,b00dbcb5,ryan atienza,2026-04-11,21:25:12,-07:00,2026-04-11T21:25:12-07:00,0,5
style.css,71,css,a6cfe71c,ryan atienza,2026-04-11,21:32:23,-07:00,2026-04-11T21:32:23-07:00,1,12
style.css,72,css,a6cfe71c,ryan atienza,2026-04-11,21:32:23,-07:00,2026-04-11T21:32:23-07:00,1,29
style.css,73,css,a6cfe71c,ryan atienza,2026-04-11,21:32:23,-07:00,2026-04-11T21:32:23-07:00,1,18
style.css,74,css,a6cfe71c,ryan atienza,2026-04-11,21:32:23,-07:00,2026-04-11T21:32:23-07:00,0,0
style.css,75,css,a6cfe71c,ryan atienza,2026-04-11,21:32:23,-07:00,2026-04-11T21:32:23-07:00,0,0
style.css,76,css,a6cfe71c,ryan atienza,2026-04-11,21:32:23,-07:00,2026-04-11T21:32:23-07:00,0,21
style.css,77,css,a6cfe71c,ryan atienza,2026-04-11,21:32:23,-07:00,2026-04-11T21:32:23-07:00,1,18
style.css,78,css,7c752d1a,ryan atienza,2026-04-11,21:44:39,-07:00,2026-04-11T21:44:39-07:00,0,0
style.css,79,css,7c752d1a,ryan atienza,2026-04-11,21:44:39,-07:00,2026-04-11T21:44:39-07:00,0,0
style.css,80,css,7c752d1a,ryan atienza,2026-04-11,21:44:39,-07:00,2026-04-11T21:44:39-07:00,0,9
style.css,81,css,7c752d1a,ryan atienza,2026-04-11,21:44:39,-07:00,2026-04-11T21:44:39-07:00,1,12
style.css,82,css,7c752d1a,ryan atienza,2026-04-11,21:44:39,-07:00,2026-04-11T21:44:39-07:00,1,58
style.css,83,css,8c7b1219,ryan atienza,2026-04-11,21:55:14,-07:00,2026-04-11T21:55:14-07:00,1,7
style.css,84,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,0,0
style.css,85,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,0,0
style.css,86,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,0,17
style.css,87,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,1,12
style.css,88,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,1,26
style.css,89,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,1,15
style.css,90,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,1,7
style.css,91,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,0,0
style.css,92,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,0,0
style.css,93,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,0,12
style.css,94,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,1,8
style.css,95,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,0,0
style.css,96,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,0,0
style.css,97,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,0,2
style.css,98,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,1,13
style.css,99,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,0,0
style.css,100,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,0,0
style.css,101,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,0,22
style.css,102,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,1,15
style.css,103,css,7c3ec6b1,ryan atienza,2026-04-11,21:51:01,-07:00,2026-04-11T21:51:01-07:00,1,17
style.css,104,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,0,0
style.css,105,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,0,0
style.css,106,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,0,7
style.css,107,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,1,16
style.css,108,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,1,18
style.css,109,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,1,41
style.css,110,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,0,0
style.css,111,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,0,0
style.css,112,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,0,10
style.css,113,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,1,43
style.css,114,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,1,20
style.css,115,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,1,19
style.css,116,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,0,0
style.css,117,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,0,0
style.css,118,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,0,10
style.css,119,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,1,19
style.css,120,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,0,0
style.css,121,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,0,9
style.css,122,css,8208cee0,ryan atienza,2026-04-11,22:05:04,-07:00,2026-04-11T22:05:04-07:00,1,8
